	CO	CO_accuracy_scaling	CO__with_so2_o3 (random split)	NO2	NO2_accuracy_scaling	NO2_with_so2_o3	NO2_with_o3_only	NO2_with_so2_only	pm10_with_humidity
r2	-1.822915541	0.88072117	0.965825186	-26.94854104	0.706619968	0.716514753	0.614156313	0.75646998	-0.194546263
k2	1.03E-07	0.741505714	0.999820414	1.57E-09	0.956292329	0.999820414	0.999820414	0.697404878	0.741505714
