"altitude";"co_a";"co_w";"pt";"gps_fix";"heading";"humidity";"latitude";"lonet_bat";"longitude";"no2_a";"no2_w";"pm1";"pm10";"pm2_5";"w_pm1";"w_pm10";"w_pm2_5";"sample_flow_rate";"sampling_period";"speed";"temp";"date";"retries";"last_organicity_sync";"timestamp";"id";"m_co";"m_no2"
0;270.8;238.5;0;0;0;18.6;0;0;0;327.2;265.9;14.809;17.871;17.812;9;14;13;3.88;63.047;0;27.9;19800106013306;0;"";"2017-02-09 22:41:06.484059+00";25;505.27475;502.85715
0;271.6;207.9;0;0;0;17.1;0;0;0;294.1;2383.7;17.419;21.339;21.225;24;36;32;3.331;64.868;0;33;19800106014959;0;"";"2017-02-09 22:41:03.300708+00";26;585.05493;584.24908
0;264.3;204.7;0;0;0;19.1;0;0;0;311.9;263.5;14.296;17.71;17.629;7;11;10;3.7;64.867;0;27.8;19800106013915;0;"";"2017-02-09 22:40:18.853614+00";24;612.45422;612.45422
0;271.6;237.7;0;0;0;18.6;0;0;0;327.2;266.7;14.909;18.059;17.986;9;14;13;3.866;65.083;0;27.9;19800106013203;0;"";"2017-02-09 22:40:04.494993+00";25;502.0513;493.99271
0;276.4;207.1;0;0;0;17.1;0;0;0;301.4;2388.6;17.296;21.139;20.991;23;34;30;3.299;64.869;0;33.1;19800106014854;0;"";"2017-02-09 22:39:59.282487+00";26;587.47253;590.69598
0;265.9;202.3;0;0;0;19.1;0;0;0;309.5;270;14.315;17.684;17.599;7;11;10;3.7;64.866;0;27.8;19800106013810;0;"";"2017-02-09 22:39:14.728871+00";24;614.06592;611.64838
0;278;238.5;0;0;0;18.6;0;0;0;327.2;266.7;14.216;17.243;17.186;10;15;14;3.838;63.049;0;28;19800106013058;0;"";"2017-02-09 22:38:57.984193+00";25;503.66302;502.85715
0;276.4;202.3;0;0;0;17;0;0;0;293.3;2383.7;17.521;21.519;21.323;25;37;33;3.236;64.873;0;33.1;19800106014749;0;"";"2017-02-09 22:38:53.211995+00";26;591.50183;589.89014
0;269.2;200.7;0;0;0;19.1;0;0;0;310.3;262.7;14.322;17.657;17.567;7;11;10;3.7;64.868;0;27.8;19800106013705;0;"";"2017-02-09 22:38:08.711191+00";24;612.45422;610.84253
0;276.4;238.5;0;0;0;18.6;0;0;0;327.2;268.4;15.176;18.477;18.401;10;15;14;3.783;63.052;0;28;19800106012954;0;"";"2017-02-09 22:37:54.706099+00";25;508.4982;500.43958
0;273.2;197.4;0;0;0;17;0;0;0;298.2;2387;18.03;22.042;21.947;23;35;31;3.255;64.871;0;33.2;19800106014644;0;"";"2017-02-09 22:37:48.191696+00";26;600.36633;602.78387
0;265.1;202.3;0;0;0;19.1;0;0;0;314.3;269.2;14.458;17.908;17.805;7;11;10;3.7;64.872;0;27.8;19800106013600;0;"";"2017-02-09 22:37:03.720789+00";24;612.45422;614.87183
0;271.6;237.7;0;0;0;18.6;0;0;0;328.8;270.8;14.647;17.92;17.828;8;12;11;3.871;63.047;0;28.1;19800106012851;0;"";"2017-02-09 22:36:52.449434+00";25;502.85715;509.30405
0;271.6;199.9;0;0;0;17;0;0;0;298.2;2388.6;17.804;21.882;21.75;23;35;31;3.294;64.873;0;33.2;19800106014539;0;"";"2017-02-09 22:36:43.029486+00";26;599.56042;596.33704
0;265.9;200.7;0;0;0;19.1;0;0;0;311.9;264.3;14.302;17.627;17.529;6;10;9;3.7;64.861;0;27.8;19800106013455;0;"";"2017-02-09 22:35:58.627963+00";24;614.87183;613.26007
0;273.2;236.1;0;0;0;18.5;0;0;0;331.2;268.4;14.981;18.279;18.112;9;13;12;3.847;63.045;0;28;19800106012748;0;"";"2017-02-09 22:35:48.088087+00";25;510.91577;504.46887
0;277.2;203.9;0;0;0;16.9;0;0;0;289.3;2378.9;17.73;21.667;21.575;21;31;28;3.226;64.871;0;33.2;19800106014434;0;"";"2017-02-09 22:35:38.124204+00";26;606.00732;601.97803
0;265.9;201.5;0;0;0;19.1;0;0;0;312.7;269.2;14.345;17.753;17.643;7;11;10;3.7;64.867;0;27.9;19800106013350;0;"";"2017-02-09 22:34:53.584213+00";24;617.28937;615.67767
0;273.2;237.7;0;0;0;18.6;0;0;0;327.2;272.4;14.583;17.847;17.761;8;12;11;3.8;63.045;0;28.1;19800106012645;0;"";"2017-02-09 22:34:45.884778+00";25;510.10989;499.63373
0;271.6;197.4;0;0;0;17;0;0;0;292.5;2378.9;18.628;22.796;22.704;26;39;35;3.1;64.867;0;33.3;19800106014329;0;"";"2017-02-09 22:34:34.863149+00";26;606.81317;599.56042
0;265.9;205.5;0;0;0;19.1;0;0;0;319.1;262.7;13.781;17.081;16.996;7;11;10;3.699;64.867;0;27.9;19800106013245;0;"";"2017-02-09 22:33:49.600009+00";24;615.67767;613.26007
0;273.2;236.9;0;0;0;18.5;0;0;0;331.2;267.5;15.266;18.721;18.558;9;13;12;3.71;63.041;0;28.2;19800106012541;0;"";"2017-02-09 22:33:41.626924+00";25;499.63373;510.91577
0;278;194.2;0;0;0;16.9;0;0;0;297.4;2388.6;18.356;22.558;22.437;23;34;30;3.117;64.869;0;33.3;19800106014224;0;"";"2017-02-09 22:33:27.983342+00";26;597.14288;594.72528
0;265.9;201.5;0;0;0;19.1;0;0;0;311.9;265.9;14.358;17.854;17.713;8;12;11;3.699;64.871;0;27.9;19800106013140;0;"";"2017-02-09 22:32:43.380624+00";24;615.67767;614.06592
0;273.2;236.9;0;0;0;18.5;0;0;0;328.8;271.6;15.228;18.534;18.458;9;13;12;3.721;65.078;0;28.3;19800106012438;0;"";"2017-02-09 22:32:38.485325+00";25;514.13922;502.0513
0;273.2;196.6;0;0;0;16.9;0;0;0;298.2;2378.9;19.048;23.475;23.372;24;36;32;3.151;64.869;0;33.3;19800106014119;0;"";"2017-02-09 22:32:22.788282+00";26;610.03662;602.78387
0;266.7;203.1;0;0;0;19.1;0;0;0;315.9;264.3;14.523;18.035;17.964;6;10;9;3.697;64.862;0;27.9;19800106013035;0;"";"2017-02-09 22:31:38.378774+00";24;617.28937;616.48352
0;273.2;235.3;0;0;0;18.5;0;0;0;332.8;270.8;15.315;18.621;18.547;10;15;14;3.742;63.047;0;28.3;19800106012333;0;"";"2017-02-09 22:31:33.218929+00";25;505.27475;507.69232
0;276.4;195;0;0;0;16.9;0;0;0;294.1;2378.9;18.287;22.385;22.288;22;32;29;3.222;64.87;0;33.4;19800106014014;0;"";"2017-02-09 22:31:17.868759+00";26;603.58978;608.42493
0;267.5;204.7;0;0;0;19;0;0;0;315.9;269.2;14.643;18.162;18.051;7;11;10;3.695;64.865;0;28;19800106012930;0;"";"2017-02-09 22:30:33.27406+00";24;618.90118;619.70703
0;273.2;236.9;0;0;0;18.4;0;0;0;332.8;267.5;15.238;18.539;18.459;6;10;9;3.785;63.034;0;28.4;19800106012230;0;"";"2017-02-09 22:30:29.947399+00";25;514.94507;504.46887
0;277.2;203.1;0;0;0;16.9;0;0;0;293.3;2382.1;18.092;22.188;22.079;25;37;33;3.226;64.86;0;33.5;19800106013909;0;"";"2017-02-09 22:30:12.651521+00";26;604.39563;602.78387
0;265.1;203.1;0;0;0;19;0;0;0;316.7;269.2;14.665;18.12;18.002;7;11;10;3.69;64.868;0;28;19800106012825;0;"";"2017-02-09 22:29:28.228783+00";24;614.87183;616.48352
0;271.6;239.3;0;0;0;18.4;0;0;0;330.4;271.6;14.888;18.258;18.151;8;12;11;3.874;65.075;0;28.4;19800106012126;0;"";"2017-02-09 22:29:27.602543+00";25;506.88647;510.91577
0;272.4;199;0;0;0;16.8;0;0;0;294.1;2378.9;18.299;22.57;22.371;22;32;29;3.235;64.861;0;33.6;19800106013804;0;"";"2017-02-09 22:29:08.673922+00";26;607.61908;612.45422
0;267.5;201.5;0;0;0;19;0;0;0;312.7;265.9;14.856;18.515;18.419;7;11;10;3.68;64.87;0;28.1;19800106012720;0;"";"2017-02-09 22:28:24.684781+00";24;616.48352;618.90118
0;273.2;236.9;0;0;0;18.4;0;0;0;332.8;266.7;15.442;18.821;18.732;9;13;12;3.853;65.077;0;28.6;19800106012021;0;"";"2017-02-09 22:28:21.970225+00";25;506.88647;514.13922
0;270.8;203.1;0;0;0;16.8;0;0;0;291.7;2378.1;18.557;23.038;22.857;23;35;31;3.116;64.864;0;33.6;19800106013658;0;"";"2017-02-09 22:28:02.502043+00";26;601.97803;603.58978
0;265.9;204.7;0;0;0;19;0;0;0;317.5;265.9;14.725;18.372;18.265;8;12;11;3.66;64.869;0;28.1;19800106012614;0;"";"2017-02-09 22:27:18.609873+00";24;616.48352;615.67767
0;270.8;242.6;0;0;0;18.4;0;0;0;333.6;270;15.05;18.463;18.382;7;11;10;3.813;63.043;0;28.6;19800106011916;0;"";"2017-02-09 22:27:17.225752+00";25;519.78021;507.69232
0;271.6;197.4;0;0;0;16.7;0;0;0;293.3;2387;18.925;23.263;23.133;23;35;31;3.15;64.865;0;33.7;19800106013553;0;"";"2017-02-09 22:26:57.543613+00";26;606.81317;604.39563
0;265.9;199;0;0;0;18.9;0;0;0;317.5;264.3;14.761;18.294;18.199;6;10;9;3.621;64.861;0;28.1;19800106012509;0;"";"2017-02-09 22:26:13.063416+00";24;620.51288;620.51288
